Date,Symbol,Open,High,Low,Close
4/2/2019,BTCUSD,4139.27,5100,4132.98,4900.76
4/1/2019,BTCUSD,4092.97,4146.17,4055.5,4139.27
3/31/2019,BTCUSD,4093.24,4101.77,4077.17,4092.97
3/30/2019,BTCUSD,4091.58,4130.74,4041.93,4093.24
3/29/2019,BTCUSD,4012.42,4100.76,4007.98,4091.58
3/28/2019,BTCUSD,4028.85,4028.85,3994.27,4012.42
3/27/2019,BTCUSD,3920.75,4036.91,3914.43,4028.85
3/26/2019,BTCUSD,3907.98,3921.48,3883.08,3920.75
3/25/2019,BTCUSD,3971.02,3976.8,3859.68,3907.98
3/24/2019,BTCUSD,3983.44,3983.44,3945.23,3971.02
3/23/2019,BTCUSD,3984.94,4000.74,3958.13,3983.44
3/22/2019,BTCUSD,3977.58,4000.67,3963.98,3984.94
3/21/2019,BTCUSD,4032.79,4057.34,3920,3977.58
3/20/2019,BTCUSD,4000.66,4047.6,3962.68,4032.79
3/19/2019,BTCUSD,3971.08,4009.86,3949.84,4000.66
3/18/2019,BTCUSD,3965.4,4014.53,3934.65,3971.08
3/17/2019,BTCUSD,3990.03,3991.61,3934.08,3965.4
3/16/2019,BTCUSD,3901.35,4036.97,3899,3990.03
3/15/2019,BTCUSD,3852.63,3908.66,3846.45,3901.35
3/14/2019,BTCUSD,3852.16,3904.57,3782.69,3852.63
3/13/2019,BTCUSD,3860.88,3874,3823,3852.16
3/12/2019,BTCUSD,3848.86,3876.57,3799.08,3860.88
3/11/2019,BTCUSD,3899.63,3913.36,3815.62,3848.86
3/10/2019,BTCUSD,3917.54,3917.54,3867.46,3899.63
3/9/2019,BTCUSD,3842.83,3946.6,3835.87,3917.54
3/8/2019,BTCUSD,3855.39,3911.65,3772.32,3842.83
3/7/2019,BTCUSD,3851.53,3889.96,3829.09,3855.39
3/6/2019,BTCUSD,3845.36,3896.26,3808.94,3851.53
3/5/2019,BTCUSD,3702,3890.88,3693,3845.36
3/4/2019,BTCUSD,3787.65,3807.21,3672.08,3702
3/3/2019,BTCUSD,3813.06,3820.36,3761.89,3787.65
3/2/2019,BTCUSD,3830.09,3830.09,3760.23,3813.06
3/1/2019,BTCUSD,3793.23,3843,3792.33,3830.09
2/28/2019,BTCUSD,3799.25,3888.37,3755.88,3793.23
2/27/2019,BTCUSD,3799.4,3823.44,3651.17,3799.25
2/26/2019,BTCUSD,3818.75,3828.31,3761.23,3799.4
2/25/2019,BTCUSD,3732.54,3866.76,3730,3818.75
2/24/2019,BTCUSD,4110.16,4190,3712.01,3732.54
2/23/2019,BTCUSD,3943.08,4156.29,3911.16,4110.16
2/22/2019,BTCUSD,3900,3955.32,3888.27,3943.08
2/21/2019,BTCUSD,3939.88,3990.35,3870.15,3900
2/20/2019,BTCUSD,3894.05,3964.08,3866.77,3939.88
2/19/2019,BTCUSD,3868.62,3972.61,3841.34,3894.05
2/18/2019,BTCUSD,3623.69,3915.99,3617.78,3868.62
2/17/2019,BTCUSD,3577.98,3669.57,3554.79,3623.69
2/16/2019,BTCUSD,3564.31,3609.76,3563.95,3577.98
2/15/2019,BTCUSD,3562.43,3615.98,3545.4,3564.31
2/14/2019,BTCUSD,3580.64,3590.21,3537.22,3562.43
2/13/2019,BTCUSD,3587.87,3629.73,3562.38,3580.64
2/12/2019,BTCUSD,3591.05,3617.54,3546.99,3587.87
2/11/2019,BTCUSD,3647.8,3651.41,3577.61,3591.05
2/10/2019,BTCUSD,3622.58,3658.06,3577.25,3647.8
2/9/2019,BTCUSD,3620.7,3639.09,3592.52,3622.58
2/8/2019,BTCUSD,3360.01,3715.2,3343.41,3620.7
2/7/2019,BTCUSD,3365.97,3379.9,3351.83,3360.01
2/6/2019,BTCUSD,3430.97,3445.04,3335.54,3365.97
2/5/2019,BTCUSD,3412.87,3435.1,3397.92,3430.97
2/4/2019,BTCUSD,3415.41,3438.35,3395.9,3412.87
2/3/2019,BTCUSD,3467.42,3471.56,3386.91,3415.41
2/2/2019,BTCUSD,3437.65,3484.34,3414.18,3467.42
2/1/2019,BTCUSD,3413.12,3457.67,3374,3437.65
1/31/2019,BTCUSD,3435.47,3472.8,3394.3,3413.12
1/30/2019,BTCUSD,3392.18,3459.67,3372.4,3435.47
1/29/2019,BTCUSD,3432.34,3439.59,3343.04,3392.18
1/28/2019,BTCUSD,3532.55,3534.28,3371.77,3432.34
1/27/2019,BTCUSD,3547.7,3547.7,3547.7,3547.7
1/26/2019,BTCUSD,3547.7,3547.7,3547.7,3547.7
1/25/2019,BTCUSD,3569.91,3579.02,3513.98,3547.7
1/24/2019,BTCUSD,3555,3595,3529,3571.75
1/23/2019,BTCUSD,3579.34,3617.04,3522.01,3555
1/22/2019,BTCUSD,3534.59,3610.76,3420.84,3579.34
1/21/2019,BTCUSD,3535.35,3571.69,3488.48,3534.59
1/20/2019,BTCUSD,3683.22,3700.96,3472.9,3535.35
1/19/2019,BTCUSD,3607.81,3764.04,3605.57,3683.22
1/18/2019,BTCUSD,3637.09,3641.29,3578,3607.81
1/17/2019,BTCUSD,3608.22,3660.89,3544.31,3637.09
1/16/2019,BTCUSD,3585.47,3667.16,3573.9,3608.22
1/15/2019,BTCUSD,3665.5,3685.61,3543.77,3585.47
1/14/2019,BTCUSD,3514.74,3711.73,3507.78,3665.5
1/13/2019,BTCUSD,3615.72,3643.08,3480.43,3514.74
1/12/2019,BTCUSD,3634.49,3648.26,3550,3615.72
1/11/2019,BTCUSD,3624.18,3698.72,3571.64,3634.49
1/10/2019,BTCUSD,4001.15,4034.02,3569.09,3624.18
1/9/2019,BTCUSD,3996.57,4043.86,3961.76,4001.15
1/8/2019,BTCUSD,4004.9,4120.08,3943.63,3996.57
